"ID","de","tags"
7287,"Akarizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Acaricide"
7282,"Fungizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Fungicide"
7283,"Herbizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Herbicide"
7284,"Insektizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Insecticide"
7305,"Netz- und Haftmittel",":ChemicalProduct, :AdhesionAgents"
7292,"Desinfektionsmittel",":ChemicalProduct, :Desinfectant"
7293,"Nematizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Nematicide"
7294,"Bakterizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Bactericide"
7307,"Rodentizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Rodenticide"
7289,"Vorratsschutzmittel",":ChemicalProduct, :StorageProtectors"
7286,"Saatbeizmittel",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :SeedDressing"
7295,"Wundverschlussmittel",":ChemicalProduct"
7291,"Phytoregulator",":ChemicalProduct"
7311,"Molluskizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Molluscicide"
7296,"Insektizid (Seifenpräparat)",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Insecticide, :SoapProduct"
7314,"Stimulator der natürlichen Abwehrkräfte",":ChemicalProduct, :NaturalDefenseStimulator"
7300,"Insektizid (Insektenlockstoff, Pheromon)",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Insecticide, :Pheromone"
7288,"Wildabhaltemittel",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct"
13139,"Virizid",":ChemicalProduct, :CropProtectionProduct, :ChemicalCropProtectionProduct, :Viricide"
7313,"Lebende Organismen (gegen Pilze)",":BiologicalControlAgent, :CropProtectionProduct, :BCAFungi"
7315,"Lebende Organismen (Bakterien)",":BiologicalControlAgent, :CropProtectionProduct, :BCABacteria"
7299,"Lebende Organismen (Insektenviren)",":BiologicalControlAgent, :CropProtectionProduct, :BCAInsectViruses"
7290,"Lebende Organismen (Milben)",":BiologicalControlAgent, :CropProtectionProduct, :BCAMites"
7308,"Lebende Organismen (Insekten)",":BiologicalControlAgent, :CropProtectionProduct, :BCAInsects"
7298,"Lebende Organismen (Nematoden)",":BiologicalControlAgent, :CropProtectionProduct, :BCANematodes"
7285,"Lebende Organismen (Pilze)",":BiologicalControlAgent, :CropProtectionProduct, :BCAAgainstFungi"
