"ID","label_de","wikidata_IRI"
"3285","Zofingen","Q63986"
"11408","Aesch","Q68367"
"11418","Obernau","Q646810"
"5696","Maintal",NA
"11661","La Rozas, Madrid",NA
"2738","Hasle-Rüegsau ",NA
"5490","München",NA
"11662","Milano",NA
"13854","Saint-Sauveur",NA
"13855","S. Carlo di Cesena (FC)",NA
"4386","Zürich","Q72"
"13846","Zürich","Q72"
"3272","Oftringen",NA
"14796","AZ Utrecht",NA
"2958","Visp",NA
"5738","Ruisbroek",NA
"5199","Frankfurt am Main",NA
"15341","Hamburg",NA
"13860","Baccon",NA
"13863","Turin",NA
"2224","Charrat",NA
"13857","Milano",NA
"5458","Monheim am Rhein",NA
"5735","Bruxelles",NA
"13856","Cambridge",NA
"15518","St. Gallen",NA
"13859","Cernusco sul Naviglio (MI)",NA
"5187","Emmerthal",NA
"13858","Méréville",NA
"5754","Steffisburg",NA
"13339","Genève",NA
"5214","Harboore",NA
"15488","Winterthur",NA
"14809","Cazis",NA
"5209","Graz",NA
"5757","Wien",NA
"3296","Langenthal",NA
"5447","Stade",NA
"12189","Isnes",NA
"15075","Costanti",NA
"5200","Frankfurt Griesheim",NA
"5443","Noguères",NA
"4366","Zürich",NA
"5751","Köln",NA
"5163","Colombes",NA
"12807","Pomezia (Roma)",NA
"5436","Bergamo",NA
"3053","Basel",NA
"3052","Basel",NA
"4951","Kradolf",NA
"13074","Nikosia",NA
"5155","Cesano Maderno",NA
"5154","Cernay Cedex",NA
"5906","Wilen b. Wil",NA
"3470","Mägenwil",NA
"5663","AT Muiden",NA
"5899","Mailand",NA
"12343","Ertvelde",NA
"4461","Schaffhausen",NA
"14982","Herzogenburg",NA
"3059","Basel",NA
"5648","St. Truiden",NA
"12826","Zürich",NA
"14977","Dublin 4",NA
"11986","Dagmersellen",NA
"13390","Lausanne",NA
"3974","Mendrisio",NA
"4439","Dielsdorf",NA
"5403","Wien",NA
"5675","Maves",NA
"5120","Ashdod",NA
"5664","Düsseldorf",NA
"3717","Rotkreuz ",NA
"5144","Bruxelles",NA
"5693","Allerheiligen ",NA
"5691","Aix-en-Provence",NA
"12246","Race",NA
"2554","Bern",NA
"5688","Ecully CEDEX",NA
"5686","S.Maria Mugano",NA
"15836","Antwerpen",NA
"15015","Versoix",NA
"5680","CURACAO (ANTILLE  NL)",NA
"3992","Lugano ",NA
"5143","Brüssel",NA
"11769","Warrington",NA
"5622","Paris Cedex 07",NA
"14225","Genua ",NA
"13478","Sissach",NA
"5832","51149 Köln",NA
"3697","Zug",NA
"5631","Ieper",NA
"3696","Zug ",NA
"14233","Padova",NA
"12064","Füllinsdorf",NA
"14459","Leverkusen ",NA
"5353","Salerano su Lambro (Lo)",NA
"3691","Aesch",NA
"5366","Sint-Truiden",NA
"5606","Guyancourt",NA
"12781","Eschenbach",NA
"5607","LYON ",NA
"15392","Altstätten",NA
"5853","B - 9000 Gent",NA
"5852","Graz",NA
"1791","Nyon",NA
"4518","Tägerwilen ",NA
"14219","Montsuzain",NA
"13012","Diegem",NA
"5611","Cesena Maderno",NA
"5858","Mumbai 400 050",NA
"12765","Rheienfeld",NA
"5318","Ougrée",NA
"3195","Solothurn",NA
"14966","Murcia",NA
"14970","Cambridgeshire",NA
"15215","Saronno (VA)",NA
"5870","Diegem",NA
"2585","Deisswil b. Stettlen",NA
"15622","Troisdorf",NA
"5572","Barcelona",NA
"15216","Wals-Siezenheim",NA
"2081","Freiburg",NA
"15217","CP Breda",NA
"5571","Puteaux Cédex",NA
"13054","Mailand",NA
"5876","Madrid",NA
"5580","Asse",NA
"1755","Vernier",NA
"14251","Warrington, Cheshire ",NA
"3440","Birmenstorf",NA
"14011","Wangen bei Olten",NA
"5338","Pont-du-Casse",NA
"13815","Düsseldorf",NA
"2675","Grossaffoltern ",NA
"13212","Basel",NA
"5280","Milano",NA
"5281","Milano",NA
"5557","Sandbach Cheshire",NA
"5760","Mumbai",NA
"5762","Langenfeld",NA
"5774","Worcester",NA
"12129","Selm",NA
"2687","Murten / Morat",NA
"5294","Münsingen",NA
"14637","Grassobbio (Bergamo)",NA
"3081","Muttenz",NA
"4349","Zürich",NA
"14644","Bydgoszcz",NA
"3622","Grossdietwil",NA
"5788","Oulens-sous-Echallens",NA
"5791","Seon",NA
"5546","Hamburg",NA
"3076","Allschwil",NA
"14655","Brüssel",NA
"2668","Lyss",NA
"5115","Albano",NA
"5251","Lemvig",NA
"5527","Stulln",NA
"5253","Levallois-Perret",NA
"5795","London",NA
"3133","Stein",NA
"5254","Levallois-Perret Cedex",NA
"5793","Köln",NA
"5257","Limburgerhof",NA
"13233","Treviso",NA
"12680","Setúbal",NA
"2898","Interlaken ",NA
"5264","Ludwigshafen",NA
"5813","Saint Didier Au Mont d'Or",NA
"5267","Lyon Cedex 09",NA
"15156","Wasserbillig",NA
"1924","Cheyres",NA
"5266","Lüneburg",NA
"5269","Lyon Cedex 09",NA
"15155","Bern",NA
"12987","Pfeffingen",NA
"5808","Paterna (Valencia)",NA
"5514","Londerzeel",NA
"5515","Mozzanica, Bergamo",NA
"14618","London",NA
"14620","Berkshire",NA
"13769","London",NA
"5519","Leverkusen",NA
"14622","Suresnes",NA
"5817","Lauschied",NA
"5517","Schafhausen",NA
